evaluation,score,best_score,recall,fpr,selected_features,best_recall,best_fpr,best_selected_features,cache_hit,algorithm,seed
1,-1.9979438861723415,-1.9979438861723415,0.9961037328752775,0.19517857142857142,19,0.9961037328752775,0.19517857142857142,19,0,ga,0
2,0.4683542510808002,0.4683542510808002,0.9493066320331811,0.07071428571428572,14,0.9493066320331811,0.07071428571428572,14,0,ga,0
3,0.7925092618638641,0.7925092618638641,0.9460806904352926,0.053392857142857145,18,0.9460806904352926,0.053392857142857145,18,0,ga,0
4,-1.9787634987800475,0.7925092618638641,0.9986174536009049,0.19339285714285714,23,0.9460806904352926,0.053392857142857145,18,0,ga,0
5,-2.3289310801617558,0.7925092618638641,0.9984498722191965,0.21160714285714285,20,0.9460806904352926,0.053392857142857145,18,0,ga,0
6,-1.597633212235835,0.7925092618638641,0.995223930621308,0.17464285714285716,21,0.9460806904352926,0.053392857142857145,18,0,ga,0
7,0.759287449950025,0.7925092618638641,0.941430307092882,0.05482142857142857,18,0.9460806904352926,0.053392857142857145,18,0,ga,0
8,-1.6348873015208005,0.7925092618638641,0.9901126984791989,0.1769642857142857,18,0.9460806904352926,0.053392857142857145,18,0,ga,0
9,0.5581949290671904,0.7925092618638641,0.9462901671624283,0.06321428571428571,26,0.9460806904352926,0.053392857142857145,18,0,ga,0
10,-0.9573458500665334,0.7925092618638641,0.9878922451715615,0.1425,20,0.9460806904352926,0.053392857142857145,18,0,ga,0
11,0.8387077081450536,0.8387077081450536,0.9529934224307679,0.04964285714285714,24,0.9529934224307679,0.04964285714285714,24,0,ga,0
12,0.6268654900059651,0.8387077081450536,0.9459131090535842,0.060714285714285714,22,0.9529934224307679,0.04964285714285714,24,0,ga,0
13,-2.205524724238851,0.8387077081450536,0.9998324186182915,0.20669642857142856,15,0.9529934224307679,0.04964285714285714,24,0,ga,0
14,0.673796805579662,0.8387077081450536,0.9464158531987096,0.057678571428571426,25,0.9529934224307679,0.04964285714285714,24,0,ga,0
15,0.41141865120927934,0.8387077081450536,0.9382043654949935,0.07133928571428572,21,0.9529934224307679,0.04964285714285714,24,0,ga,0
16,0.26316631055623046,0.8387077081450536,0.9464996438895639,0.08035714285714286,16,0.9529934224307679,0.04964285714285714,24,0,ga,0
17,-1.1235864809705356,0.8387077081450536,0.9906992333151787,0.15071428571428572,21,0.9529934224307679,0.04964285714285714,24,0,ga,0
18,0.707987671795854,0.8387077081450536,0.9573924337006159,0.05794642857142857,19,0.9529934224307679,0.04964285714285714,24,0,ga,0
19,-0.28193679688139023,0.8387077081450536,0.9603251078805145,0.106875,22,0.9529934224307679,0.04964285714285714,24,0,ga,0
20,0.11699295160688598,0.8387077081450536,0.9550881897021241,0.08785714285714286,17,0.9529934224307679,0.04964285714285714,24,0,ga,0
21,-1.9592044323280444,0.8387077081450536,0.9985336629100507,0.1924107142857143,23,0.9529934224307679,0.04964285714285714,24,0,ga,0
22,-2.1539065913348456,0.8387077081450536,0.9996648372365831,0.20339285714285715,18,0.9529934224307679,0.04964285714285714,24,0,ga,0
23,-1.685540220529119,0.8387077081450536,0.9882693032804055,0.17892857142857144,20,0.9529934224307679,0.04964285714285714,24,0,ga,0
24,-0.509280118264575,0.8387077081450536,0.9835770245925678,0.11964285714285715,21,0.9529934224307679,0.04964285714285714,24,0,ga,0
25,0.6872342887467108,0.8387077081450536,0.9491390506514726,0.05714285714285714,25,0.9529934224307679,0.04964285714285714,24,0,ga,0
26,-0.5639495290763673,0.8387077081450536,0.9830742804474423,0.12116071428571429,26,0.9529934224307679,0.04964285714285714,24,0,ga,0
