evaluation,score,best_score,recall,fpr,selected_features,best_recall,best_fpr,best_selected_features,cache_hit,algorithm,seed
1,-2.20497138148904,-2.20497138148904,0.9997905232728644,0.205,22,0.9997905232728644,0.205,22,0,pso,0
2,-2.2011398775857907,-2.2011398775857907,0.9994553605094474,0.20526785714285714,20,0.9994553605094474,0.20526785714285714,20,0,pso,0
3,-0.5759000267332205,-0.5759000267332205,0.9746952113620176,0.12205357142857143,23,0.9746952113620176,0.12205357142857143,23,0,pso,0
4,0.6855236618925925,0.6855236618925925,0.9498093761783066,0.05821428571428571,21,0.9498093761783066,0.05821428571428571,21,0,pso,0
5,-2.1572598399198797,0.6855236618925925,0.9992877791277389,0.20258928571428572,22,0.9498093761783066,0.05821428571428571,21,0,pso,0
6,-0.028352226139104444,0.6855236618925925,0.9823620595751812,0.09482142857142857,24,0.9498093761783066,0.05821428571428571,21,0,pso,0
7,0.019573056504850833,0.6855236618925925,0.9588587707905651,0.09053571428571429,27,0.9498093761783066,0.05821428571428571,21,0,pso,0
8,-2.3139157384852633,0.6855236618925925,0.9979890234194981,0.20892857142857144,28,0.9498093761783066,0.05821428571428571,21,0,pso,0
9,-2.235244733655329,0.6855236618925925,0.9998743139637186,0.20723214285714286,19,0.9498093761783066,0.05821428571428571,21,0,pso,0
10,-2.656580811133788,0.6855236618925925,0.9993715698185932,0.22732142857142856,23,0.9498093761783066,0.05821428571428571,21,0,pso,0
11,0.5152452922599345,0.6855236618925925,0.9467929113075537,0.06705357142857143,19,0.9498093761783066,0.05821428571428571,21,0,pso,0
12,0.5809451240800482,0.6855236618925925,0.9517784574133814,0.06401785714285714,19,0.9498093761783066,0.05821428571428571,21,0,pso,0
13,0.5965470005925199,0.6855236618925925,0.9519041434496628,0.06348214285714286,18,0.9498093761783066,0.05821428571428571,21,0,pso,0
14,-1.524862368802731,0.6855236618925925,0.9935900121496501,0.17044642857142858,23,0.9498093761783066,0.05821428571428571,21,0,pso,0
15,-0.7846990717188466,0.6855236618925925,0.9831580711382966,0.13410714285714287,18,0.9498093761783066,0.05821428571428571,21,0,pso,0
16,-0.8252035914286112,0.6855236618925925,0.9736059323809125,0.13517857142857143,20,0.9498093761783066,0.05821428571428571,21,0,pso,0
