evaluation,score,best_score,recall,fpr,selected_features,best_recall,best_fpr,best_selected_features,cache_hit,algorithm,seed
1,-1.3196853509932187,-1.3196853509932187,0.985671791863924,0.16098214285714285,18,0.985671791863924,0.16098214285714285,18,0,sa,0
2,-1.3444007868344876,-1.3196853509932187,0.9865515941178935,0.16178571428571428,20,0.985671791863924,0.16098214285714285,18,0,sa,0
3,-0.4699063489403469,-0.4699063489403469,0.9604507939167959,0.11651785714285715,21,0.9604507939167959,0.11651785714285715,21,0,sa,0
4,-0.6088672246727675,-0.4699063489403469,0.9643470610415182,0.12366071428571429,21,0.9604507939167959,0.11651785714285715,21,0,sa,0
5,-0.5381650387332445,-0.4699063489403469,0.9588587707905651,0.12008928571428572,20,0.9604507939167959,0.11651785714285715,21,0,sa,0
6,-0.3371176550975662,-0.3371176550975662,0.9599061544262433,0.11008928571428571,20,0.9599061544262433,0.11008928571428571,20,0,sa,0
7,0.5665962675237257,0.5665962675237257,0.9445724579999162,0.064375,19,0.9445724579999162,0.064375,19,0,sa,0
8,0.6593696196900144,0.6593696196900144,0.944488667309062,0.05973214285714286,19,0.944488667309062,0.05973214285714286,19,0,sa,0
9,0.8325697407875129,0.8325697407875129,0.93971259793037,0.05107142857142857,18,0.93971259793037,0.05107142857142857,18,0,sa,0
10,0.736441519085325,0.8325697407875129,0.9423939000377058,0.055535714285714285,20,0.93971259793037,0.05107142857142857,18,0,sa,0
11,0.7995122683536525,0.8325697407875129,0.9411789350203192,0.052321428571428574,20,0.93971259793037,0.05107142857142857,18,0,sa,0
12,0.508254230931134,0.8325697407875129,0.9451589928358959,0.06732142857142857,19,0.93971259793037,0.05107142857142857,18,0,sa,0
13,0.8433433283657423,0.8433433283657423,0.9385814236038376,0.049107142857142856,20,0.9385814236038376,0.049107142857142856,20,0,sa,0
14,0.8299357953831329,0.8433433283657423,0.9424357953831329,0.050625,21,0.9385814236038376,0.049107142857142856,20,0,sa,0
15,0.8426452721102685,0.8433433283657423,0.9426452721102685,0.04946428571428572,21,0.9385814236038376,0.049107142857142856,20,0,sa,0
16,0.7845040089855541,0.8433433283657423,0.9440278185093636,0.0525,23,0.9385814236038376,0.049107142857142856,20,0,sa,0
17,0.820099690971952,0.8433433283657423,0.9462901671624283,0.05107142857142857,22,0.9385814236038376,0.049107142857142856,20,0,sa,0
18,0.8139797286378626,0.8433433283657423,0.9461225857807197,0.05160714285714286,21,0.9385814236038376,0.049107142857142856,20,0,sa,0
19,0.8155385596779245,0.8433433283657423,0.9470861787255436,0.05133928571428571,22,0.9385814236038376,0.049107142857142856,20,0,sa,0
20,0.6967929113075537,0.8433433283657423,0.9467929113075537,0.0575,21,0.9385814236038376,0.049107142857142856,20,0,sa,0
21,0.5960159272138199,0.8433433283657423,0.9418492605471532,0.06205357142857143,22,0.9385814236038376,0.049107142857142856,20,0,sa,0
22,0.5890967114148856,0.8433433283657423,0.9468348066529808,0.062410714285714285,23,0.9385814236038376,0.049107142857142856,20,0,sa,0
23,0.5799602842100433,0.8433433283657423,0.9436507604005195,0.06294642857142857,22,0.9385814236038376,0.049107142857142856,20,0,sa,0
24,0.5304472427875166,0.8433433283657423,0.9423520046922786,0.06535714285714286,22,0.9385814236038376,0.049107142857142856,20,0,sa,0
25,0.5865497986030895,0.8433433283657423,0.9436926557459466,0.06285714285714286,21,0.9385814236038376,0.049107142857142856,20,0,sa,0
26,0.24124915959932114,0.8433433283657423,0.9507729691231305,0.08071428571428571,20,0.9385814236038376,0.049107142857142856,20,0,sa,0
27,0.04822119345874032,0.8433433283657423,0.9565545267920734,0.09089285714285714,19,0.9385814236038376,0.049107142857142856,20,0,sa,0
28,0.0848832865501975,0.8433433283657423,0.955716619883531,0.08901785714285715,19,0.9385814236038376,0.049107142857142856,20,0,sa,0
29,0.8026386336930349,0.8433433283657423,0.9425195860739872,0.05223214285714286,20,0.9385814236038376,0.049107142857142856,20,0,sa,0
30,0.7976411424262194,0.8433433283657423,0.9440697138547908,0.052321428571428574,21,0.9385814236038376,0.049107142857142856,20,0,sa,0
31,0.8256679315070954,0.8433433283657423,0.9435250743642382,0.05089285714285714,21,0.9385814236038376,0.049107142857142856,20,0,sa,0
32,0.1432301859953834,0.8433433283657423,0.946206376471574,0.085625,19,0.9385814236038376,0.049107142857142856,20,0,sa,0
33,0.6850731373030171,0.8433433283657423,0.9457874230173028,0.05875,18,0.9385814236038376,0.049107142857142856,20,0,sa,0
34,0.8501303743249363,0.8501303743249363,0.9453684695630316,0.048214285714285716,20,0.9453684695630316,0.048214285714285716,20,0,sa,0
35,0.8479170033256924,0.8501303743249363,0.94553605094474,0.05035714285714286,19,0.9453684695630316,0.048214285714285716,20,0,sa,0
36,0.8345110912939476,0.8501303743249363,0.9464158531987096,0.05107142857142857,19,0.9453684695630316,0.048214285714285716,20,0,sa,0
37,0.8621260092289461,0.8621260092289461,0.9478402949432319,0.049553571428571426,18,0.9478402949432319,0.049553571428571426,18,0,sa,0
38,0.8586209648298551,0.8621260092289461,0.9490971553060455,0.04964285714285714,19,0.9478402949432319,0.049553571428571426,18,0,sa,0
39,0.6501777310278924,0.8621260092289461,0.9507729691231305,0.060267857142857144,20,0.9478402949432319,0.049553571428571426,18,0,sa,0
40,0.6310289147709023,0.8621260092289461,0.9518622481042356,0.061517857142857145,19,0.9478402949432319,0.049553571428571426,18,0,sa,0
41,0.6750939403370382,0.8621260092289461,0.9506891784322762,0.05901785714285714,20,0.9478402949432319,0.049553571428571426,18,0,sa,0
42,0.8583276974118651,0.8621260092289461,0.9488038878880556,0.04875,19,0.9478402949432319,0.049553571428571426,18,0,sa,0
43,0.8617908464655291,0.8621260092289461,0.9475051321798148,0.046785714285714285,18,0.9478402949432319,0.049553571428571426,18,0,sa,0
44,0.8529373624685536,0.8621260092289461,0.9481754577066488,0.044821428571428575,20,0.9478402949432319,0.049553571428571426,18,0,sa,0
45,0.8623354859560817,0.8623354859560817,0.9480497716703674,0.045089285714285714,18,0.9480497716703674,0.045089285714285714,18,0,sa,0
46,0.8634247649371869,0.8634247649371869,0.9491390506514726,0.04446428571428571,18,0.9491390506514726,0.04446428571428571,18,0,sa,0
47,0.8598359298472416,0.8634247649371869,0.950312120323432,0.04383928571428571,19,0.9491390506514726,0.04446428571428571,18,0,sa,0
48,0.8569174202841302,0.8634247649371869,0.9521555155222254,0.04625,20,0.9491390506514726,0.04446428571428571,18,0,sa,0
49,0.8539183619318942,0.8634247649371869,0.9479659809795131,0.05017857142857143,19,0.9491390506514726,0.04446428571428571,18,0,sa,0
50,0.8515967114148856,0.8634247649371869,0.9468348066529808,0.04794642857142857,20,0.9491390506514726,0.04446428571428571,18,0,sa,0
51,0.8503295268419488,0.8634247649371869,0.9491390506514726,0.05089285714285714,17,0.9491390506514726,0.04446428571428571,18,0,sa,0
52,0.8643883578820107,0.8643883578820107,0.9501026435962965,0.046875,18,0.9501026435962965,0.046875,18,0,sa,0
53,0.8651147433710591,0.8651147433710591,0.9555909338472496,0.05,19,0.9555909338472496,0.05,19,0,sa,0
54,0.8028487089251052,0.8651147433710591,0.9570153755917717,0.053660714285714284,17,0.9555909338472496,0.05,19,0,sa,0
55,0.7995705477716664,0.8651147433710591,0.9573086430097616,0.053839285714285715,17,0.9555909338472496,0.05,19,0,sa,0
56,0.8331133578321354,0.8651147433710591,0.9575181197368973,0.051696428571428574,19,0.9555909338472496,0.05,19,0,sa,0
57,0.7263143667119535,0.8651147433710591,0.9572667476643345,0.0575,17,0.9555909338472496,0.05,19,0,sa,0
58,0.7287459176975914,0.8651147433710591,0.9567221081737819,0.05758928571428571,16,0.9555909338472496,0.05,19,0,sa,0
59,0.5801175413816286,0.8651147433710591,0.9473794461435334,0.06455357142857143,16,0.9555909338472496,0.05,19,0,sa,0
60,0.6695730565048509,0.8651147433710591,0.9588587707905651,0.060892857142857144,15,0.9555909338472496,0.05,19,0,sa,0
61,0.6769427968933605,0.8651147433710591,0.9578951778457413,0.060714285714285714,14,0.9555909338472496,0.05,19,0,sa,0
62,0.705875498005981,0.8651147433710591,0.9564707361012191,0.05919642857142857,14,0.9555909338472496,0.05,19,0,sa,0
63,0.6701944043778643,0.8651147433710591,0.957099166282626,0.06125,13,0.9555909338472496,0.05,19,0,sa,0
64,0.7491026166635744,0.8651147433710591,0.9544597595207173,0.05741071428571429,12,0.9555909338472496,0.05,19,0,sa,0
65,0.7174799101843594,0.8651147433710591,0.9537894339938833,0.05919642857142857,11,0.9555909338472496,0.05,19,0,sa,0
66,0.730599637106508,0.8651147433710591,0.9550043990112699,0.058125,13,0.9555909338472496,0.05,19,0,sa,0
67,0.31287688354490484,0.8651147433710591,0.9545435502115714,0.07875,14,0.9555909338472496,0.05,19,0,sa,0
68,0.634802737761073,0.8651147433710591,0.9496836901420252,0.062410714285714285,14,0.9555909338472496,0.05,19,0,sa,0
69,0.8216955545048469,0.8651147433710591,0.9562193640286564,0.053392857142857145,14,0.9555909338472496,0.05,19,0,sa,0
70,0.7856286995086275,0.8651147433710591,0.9570572709371988,0.055,15,0.9555909338472496,0.05,19,0,sa,0
71,0.7600927632773333,0.8651147433710591,0.9559260966106665,0.055982142857142855,16,0.9555909338472496,0.05,19,0,sa,0
