evaluation,score,best_score,recall,fpr,selected_features,best_recall,best_fpr,best_selected_features,cache_hit,algorithm,seed
1,-1.2415535242963076,-1.2415535242963076,0.9923750471322637,0.15598214285714285,24,0.9923750471322637,0.15598214285714285,24,0,tabu,0
2,-1.4184491390506515,-1.2415535242963076,0.9940508609493486,0.1649107142857143,24,0.9923750471322637,0.15598214285714285,24,0,tabu,0
3,-1.1713154290582122,-1.1713154290582122,0.9923750471322637,0.15223214285714284,25,0.9923750471322637,0.15223214285714284,25,0,tabu,0
4,-1.2754070082932831,-1.1713154290582122,0.9930453726590975,0.15723214285714285,26,0.9923750471322637,0.15223214285714284,25,0,tabu,0
5,-1.2506164850204189,-1.1713154290582122,0.992835895931962,0.15598214285714285,26,0.9923750471322637,0.15223214285714284,25,0,tabu,0
6,-1.4002987287755184,-1.1713154290582122,0.9943441283673384,0.16401785714285713,24,0.9923750471322637,0.15223214285714284,25,0,tabu,0
7,-1.2051183144505029,-1.1713154290582122,0.9925007331685449,0.15392857142857144,25,0.9923750471322637,0.15223214285714284,25,0,tabu,0
8,-1.352754768588067,-1.1713154290582122,0.9936738028405044,0.16160714285714287,24,0.9923750471322637,0.15223214285714284,25,0,tabu,0
9,-1.345578719359041,-1.1713154290582122,0.9943022330219112,0.16080357142857143,26,0.9923750471322637,0.15223214285714284,25,0,tabu,0
10,-1.1443953254769588,-1.1443953254769588,0.9919141983325652,0.150625,26,0.9919141983325652,0.150625,26,0,tabu,0
11,-0.996373109971292,-0.996373109971292,0.9905316519334701,0.14339285714285716,25,0.9905316519334701,0.14339285714285716,25,0,tabu,0
12,-1.2126469329614622,-0.996373109971292,0.9927102098956806,0.1538392857142857,27,0.9905316519334701,0.14339285714285716,25,0,tabu,0
13,-0.3120049366682026,-0.3120049366682026,0.9838283966651306,0.10883928571428571,25,0.9838283966651306,0.10883928571428571,25,0,tabu,0
14,-0.2790067660982866,-0.2790067660982866,0.9834932339017135,0.10741071428571429,24,0.9834932339017135,0.10741071428571429,24,0,tabu,0
